first_name,last_name,emp_no,dept_name
Georgi,Facello,10001,Development
Chirstian,Koblick,10004,Production
Sumant,Peac,10009,Quality Management
Kazuhide,Peha,10018,Production
Kazuhide,Peha,10018,Development
Alain,Chappelet,10035,Production
Sanjiv,Zschoche,10053,Sales
Berhard,McFarlin,10058,Marketing
Kwee,Schusler,10066,Development
Claudi,Stavenow,10067,Quality Management
Reuven,Garigliano,10070,Development
Reuven,Garigliano,10070,Research
Hironoby,Sidou,10072,Development
Erez,Ritzmann,10076,Development
Jungsoon,Syrzycki,10088,Sales
Jungsoon,Syrzycki,10088,Customer Service
Hironobu,Haraldson,10100,Human Resources
Akemi,Birch,10103,Development
Kayoko,Valtorta,10126,Customer Service
Armond,Peir,10129,Development
Nishit,Casperson,10130,Production
Diederik,Siprelle,10134,Production
Diederik,Siprelle,10134,Development
Perry,Shimshoni,10138,Quality Management
Zhenbing,Perng,10150,Development
Heekeun,Majewski,10153,Development
Nigel,Aloisi,10157,Development
Pranav,Furedi,10198,Development
Xiaobin,Duclos,10215,Sales
Leon,Trogemann,10224,Production
Lein,Vendrig,10233,Human Resources
Basil,Ishibashi,10258,Development
Yishai,Cannane,10272,Finance
Hercules,Benzmuller,10282,Production
Kauko,Birjandi,10283,Development
Masali,Czap,10326,Research
Djelloul,Laventhal,10340,Marketing
Pradeep,Kaminger,10347,Research
Satyanarayana,Cochrane,10355,Sales
Vasilis,Standera,10356,Research
Nakhoon,Dengi,10364,Production
Anneli,Frijda,10372,Production
Parto,Wrigley,10387,Customer Service
Sibyl,Rahier,10396,Development
Volkmar,Ebeling,10402,Quality Management
Prodip,Rosti,10404,Development
Arunas,Luce,10426,Development
Martien,Improta,10429,Development
Hisao,Tiemann,10432,Customer Service
Bodh,Ranta,10451,Production
Tsvetan,Matzel,10453,Customer Service
Ung,Zaiane,10463,Sales
Amstein,Kossowski,10486,Quality Management
Yakkov,Servieres,10494,Production
Xiong,Varker,10504,Sales
Udi,Gihr,10512,Human Resources
Marke,Cesareni,10522,Human Resources
Ramalingam,Gunderson,10548,Marketing
Ramalingam,Gunderson,10548,Sales
Jianhao,Thisen,10564,Production
Aleksander,Danlos,10623,Development
Aleksander,Danlos,10623,Research
Krisda,Krogh,10628,Development
Inderjeet,Chaudhuri,10631,Development
Hirochika,Narlikar,10642,Development
Otmar,Feinberg,10653,Development
Parviz,Rebaine,10671,Human Resources
Valeri,Danley,10676,Development
Berhard,Daescu,10693,Customer Service
Bader,Szemeredi,10702,Development
Adib,Rullman,10718,Development
Zita,Minakawa,10726,Development
Sachar,Erdi,10734,Production
Poorav,Ranze,10745,Production
King,Brendel,10749,Production
Monique,Doering,10767,Sales
Ishfaq,Candan,10768,Production
Selwyn,Merey,10778,Marketing
Tadahiko,Sgarro,10791,Development
Supot,Naudin,10795,Sales
Chenxi,Leijenhorst,10808,Development
Tomoyuki,Kermarrec,10835,Production
Jianhua,Leivant,10836,Sales
Jianhua,Leivant,10836,Customer Service
Dipayan,Koprowski,10844,Development
Theirry,Danley,10847,Research
Fen,Bratsberg,10848,Production
Lakshmi,Deville,10878,Sales
Muzhong,Chleq,10879,Development
Shimshon,Champarnaud,10883,Production
Georgi,Atchley,10909,Development
Mara,Bahi,10921,Production
Hironoby,Atchley,10924,Sales
Gal,Scallan,10927,Marketing
Mountaz,Schicker,10936,Human Resources
Berna,Skafidas,10943,Development
Eckart,Braunschweig,10965,Sales
Premal,Noriega,10969,Development
Muneo,Papsdorf,10974,Development
Masako,Schiper,10986,Development
Chinya,Deyuan,10988,Development
Sumali,Candan,10989,Finance
Shin,Foote,10990,Development
Alper,Axelband,11009,Sales
Taegyun,Speckmann,11012,Marketing
Taegyun,Speckmann,11012,Customer Service
Leon,Huttel,11019,Development
Srinidhi,Henders,11021,Research
Remzi,Cappello,11027,Production
Ottavia,Walstra,11031,Marketing
Lansing,Maliniak,11037,Production
Jinya,Beidas,11038,Research
Gou,Breugel,11042,Development
Jaques,Demke,11048,Sales
Elvis,Katiyar,11050,Marketing
Przemyslawa,Erol,11051,Production
Adib,Raney,11070,Quality Management
Barry,Boyle,11081,Finance
Hailing,Thummel,11085,Production
Berna,Cochrane,11100,Research
Aris,Iwayama,11106,Development
Boaz,Mukaidono,11112,Customer Service
Shahab,Peng,11113,Marketing
Vugranam,Kakkad,11121,Development
Nalini,Azulay,11133,Quality Management
Sachar,Rajcani,11134,Quality Management
Hugh,Luca,11137,Development
Bogdan,Homond,11139,Customer Service
Ishfaq,Masand,11146,Sales
Zhanqiu,Botman,11148,Finance
Zhanqiu,Botman,11148,Human Resources
Kauko,Narlikar,11162,Development
Mitsuyuki,Bojadziev,11180,Development
Tadahiro,Fordan,11197,Sales
Diederik,Covnot,11204,Production
Saeed,Gips,11207,Development
Saniya,Valtorta,11208,Production
Yurij,Rissland,11211,Production
Kellie,Mawatari,11217,Production
Hidefumi,Crelier,11232,Customer Service
Kiam,Condotta,11240,Development
Randi,Cyre,11249,Development
Bezalel,Chinal,11251,Marketing
Aimee,Petersohn,11268,Production
Hitomi,Eppinger,11275,Development
Visit,Dredge,11290,Development
Abdelkader,Lanzelotte,11295,Finance
Pranas,Marrakchi,11319,Development
Atilio,McAlpine,11320,Marketing
Nathalie,Pocchiola,11322,Quality Management
Kauko,Billingsley,11324,Production
Kwangsub,Hanratty,11338,Sales
Flemming,Massonet,11339,Production
Anneli,Jonsson,11347,Development
Toshimi,Shinomoto,11365,Production
Valery,Suomi,11376,Research
Kenroku,Pelc,11380,Development
Shiv,Ullian,11385,Production
Alselm,Assaf,11386,Quality Management
Junsik,Junot,11393,Production
Oscar,Peir,11398,Finance
Bedrich,Borovoy,11404,Development
Sanjiv,Anido,11415,Production
Josyula,Msuda,11421,Production
Marlo,Aingworth,11441,Sales
Kotesh,Asser,11449,Production
Duke,Suomi,11459,Human Resources
Guttorm,Giaccio,11469,Production
Rance,Picel,11506,Sales
Aleksander,Feldhoffer,11509,Development
Otmar,Mahnke,11513,Finance
Ulf,Basawa,11515,Sales
Jinxi,Oxman,11518,Human Resources
Xiadong,Standera,11524,Development
Alagu,Boyle,11527,Marketing
Zito,Dolinsky,11528,Production
DAIDA,Pehl,11537,Sales
Subhash,Taubenfeld,11554,Marketing
Subhash,Taubenfeld,11554,Human Resources
Kotesh,Perfilyeva,11555,Human Resources
Teiji,Mitzlaff,11567,Sales
Martins,Fujisaki,11568,Development
Herb,Swen,11603,Finance
Tomokazu,Foong,11607,Production
Shem,Isaak,11615,Sales
Adil,Gammage,11624,Production
Fan,Malinowski,11628,Development
Fan,Malinowski,11628,Research
Valeri,Coorg,11640,Development
Magy,Nitsche,11647,Development
Gill,Stenning,11660,Sales
Henk,Felder,11673,Production
Valeri,Ferriere,11676,Production
Fumitake,Benzmuller,11681,Production
Oksana,Gide,11684,Marketing
Dante,Rothe,11696,Sales
Sanjoy,Ranft,11732,Production
Sanjoy,Ranft,11732,Customer Service
Amalendu,Picci,11735,Customer Service
Koichi,Marrakchi,11746,Sales
Jiafu,Emiris,11751,Research
Sanjay,Anick,11764,Production
Chandrasekaran,Lampe,11769,Development
Chandrasekaran,Lampe,11769,Research
Gaurav,Penz,11772,Development
Chenxi,Thambidurai,11797,Marketing
Chenxi,Thambidurai,11797,Sales
Amabile,Bhattacharjee,11810,Development
Niranjan,Markovitch,11817,Sales
Arto,Zlotek,11832,Development
Shawna,Demeyer,11844,Development
Zeljko,Kusakabe,11853,Marketing
Divier,Farrag,11857,Sales
Pradeep,Kriebel,11864,Customer Service
Nalini,Sommen,11871,Development
Cheong,Riexinger,11872,Marketing
Mitchel,Validov,11894,Development
Cordelia,Setlzner,11897,Sales
Hideo,Boguraev,11906,Development
Miomir,Mawatari,11915,Production
Gunilla,Chiodo,11931,Research
Basil,Erman,11933,Development
Martijn,Harbusch,11949,Production
Jaana,Hedayat,11983,Development
Marit,Dalphin,11993,Human Resources
Zhilian,Coorg,12011,Sales
Mads,Ratzlaff,12036,Marketing
Mads,Ratzlaff,12036,Sales
Arunas,Katzenelson,12037,Customer Service
Yuchang,Tchuente,12050,Production
Margareta,Worfolk,12062,Human Resources
Ayonca,Burnard,12069,Development
Ger,Shokrollahi,12070,Development
Karlis,Siprelle,12076,Sales
Xinan,Yamaashi,12082,Sales
Bilhanan,Socorro,12089,Human Resources
Nobuyoshi,Kuzuoka,12099,Sales
Satyanarayana,Avouris,12112,Finance
Satoru,Krone,12122,Production
Xiahua,Syrzycki,12123,Research
Shounak,Erman,12125,Production
Shounak,Erman,12125,Development
Suebskul,Grandbois,12149,Sales
Shem,Perly,12159,Development
Xiaobin,Maquelin,12165,Development
Harngdar,Iisaku,12183,Quality Management
Feiyu,Klyachko,12192,Quality Management
Sushant,Rossi,12205,Development
Barton,Janetzko,12206,Development
Yaghout,Strooper,12218,Quality Management
Vincent,Melter,12221,Development
Abdelwaheb,Holburn,12222,Finance
Niteen,Koyama,12223,Production
Subbu,Penttonen,12247,Development
Eldridge,Sadowski,12249,Development
Guadalupe,Reghbati,12256,Human Resources
Mart,Pagter,12264,Development
Shakhar,Kornyak,12270,Research
Behnaam,Grandbois,12272,Human Resources
Mototsugu,Cronau,12308,Finance
Mototsugu,Cronau,12308,Human Resources
Susanne,Lubachevsky,12311,Development
DAIDA,Bruckman,12327,Development
Rasiah,Luga,12341,Development
Sorina,Slaats,12343,Production
Sorina,Slaats,12343,Customer Service
